Country ID,Country Name,Region,World Rank,Region Rank,2023 Score,2023 Score Range,Change from 2022,Property Rights,Judical Effectiveness,Govt Integrity,Tax Burden,Gov't Spending,Fiscal Health,Business Freedom,Labor Freedom,Monetary Freedom,Trade Freedom,Investment Freedom ,Financial Freedom,2022 Score,2022 Score Range
46,Djibouti,Sub-Saharan Africa,112,15,56.02,50-59.9,0.720000000000006,31.5,28.2,27,83.6,82.2,89.3,48.3,50.8,72.2,49.9,60,50,55.3,50-59.9
47,Dominica,Americas,86,19,59.31,50-59.9,4.91,69.1,82.7,57.9,76.4,3.1,56.7,63.8,59.5,82.6,54.8,70,40,54.4,50-59.9
48,Dominican Republic,Americas,65,14,62.67,60-69.9,-0.329999999999998,55.1,56.6,33.2,84.9,89.1,61.9,72.1,53,68.8,67,70,40,63,60-69.9
49,Ecuador,Americas,119,24,54.93,50-59.9,0.630000000000003,31.6,46.9,36.5,74.8,60.3,66.4,64,56.5,82.2,65.6,35,40,54.3,50-59.9
50,Egypt,Middle East and North Africa,151,11,49.52,40-49.9,0.420000000000002,39.7,22.1,27.9,86.7,79.4,4.1,51.1,33.4,75,60.2,65,50,49.1,40-49.9
51,El Salvador,Americas,114,23,56.28,50-59.9,-3.32,43,31.8,34.6,77.2,71.6,35.8,64.7,54.6,70.2,68.6,60,60,59.6,50-59.9
52,Equatorial Guinea,Sub-Saharan Africa,153,37,48.25,40-49.9,1.05,21.6,8.3,8.9,74.5,93.2,96.3,33.5,47.4,77.7,48.7,40,30,47.2,40-49.9
53,Eritrea,Sub-Saharan Africa,171,45,39.51,20-39.9,-0.190000000000005,9.6,5.2,12,80.3,62.3,69,31.3,51.2,64.6,68.4,0,20,39.7,20-39.9
54,Estonia,Europe,6,3,78.70,70-79.9,-1.3,92.1,92.9,83.2,80.1,47.5,89,79.4,61.9,78.4,78.6,90,70,80,70-79.9
55,Eswatini,Sub-Saharan Africa,120,20,54.62,50-59.9,3.22,45.9,36.6,33,78.2,68.5,51.3,49.9,54.9,77.9,72.4,50,40,51.4,50-59.9
56,Ethiopia,Sub-Saharan Africa,155,38,48.36,40-49.9,-1.24,30.4,21.2,34.5,77.9,93.7,82.8,39.3,39.1,53.8,56.4,30,20,49.6,40-49.9
57,Fiji,Asia-Pacific,100,21,57.85,50-59.9,1.45,58.1,45.6,55.4,89.3,69.4,6.2,63,65.8,79,58.8,55,50,56.4,50-59.9
58,Finland,Europe,11,8,77.15,70-79.9,-1.14999999999999,100,97.2,97.6,68.7,8.5,76.5,84.9,65.5,82.1,78.6,85,80,78.3,70-79.9
59,France,Europe,57,33,63.78,60-69.9,-2.12,93,83.9,75.5,52.9,0,20,78.2,59.2,76.9,78.6,75,70,65.9,60-69.9
60,Gabon,Sub-Saharan Africa,113,16,56.06,50-59.9,0.260000000000005,27.2,18.2,25.6,77.3,90.4,90.7,50.1,55.4,83,55.1,60,40,55.8,50-59.9
61,Georgia,Europe,35,21,68.96,60-69.9,-2.84,54.3,55.5,62.9,89.1,70,43,69.8,62.1,72,86,80,80,71.8,70-79.9
62,Germany,Europe,14,10,73.92,70-79.9,-2.17999999999999,94.8,93.1,89.4,60.2,28.3,82.7,79.7,52.8,75.3,78.6,80,70,76.1,70-79.9
63,Ghana,Sub-Saharan Africa,99,10,58.14,50-59.9,-1.66,50.5,57.2,45.3,82.9,81.2,6.5,53.3,55.8,70.3,63,70,60,59.8,50-59.9
64,Greece,Europe,107,42,57.22,50-59.9,-4.28,76.7,69.9,52.9,60.8,9.7,18.1,70.3,60.7,79.6,78.6,55,50,61.5,60-69.9
65,Guatemala,Americas,64,13,62.71,60-69.9,-0.490000000000002,39.2,28.5,24.9,91.7,94,85.8,65.8,50.1,77.4,74.6,70,50,63.2,60-69.9
66,Guinea,Sub-Saharan Africa,129,25,53.28,50-59.9,-0.920000000000002,20.4,26.7,24.1,70.1,92.5,91.7,45.4,50,68.2,59.4,50,40,54.2,50-59.9
67,Guinea-Bissau,Sub-Saharan Africa,165,42,44.71,40-49.9,-1.29,27.5,14.7,18.7,89.1,84.2,22.2,31.6,56.6,79.9,50.7,30,30,46,40-49.9
68,Guyana,Americas,105,22,57.09,50-59.9,-2.41,46.7,47.1,40.2,73.2,76,39,67.1,73.8,79.6,55,55,30,59.5,50-59.9
69,Haiti,Americas,149,28,49.95,40-49.9,-0.0499999999999972,23.2,18.5,15.8,81.7,96.8,90,33.4,55.1,58.3,66.5,30,30,50,40-49.9
70,Honduras,Americas,94,21,58.75,50-59.9,-0.75,38.3,29,23.4,83.8,77.5,84.4,60.8,38.4,72,71.6,65,60,59.5,50-59.9
71,Hungary,Europe,54,31,64.35,60-69.9,-2.55000000000001,69.5,62.5,44.8,84.2,29.8,38.9,73.5,61.3,76.5,78.6,80,70,66.9,60-69.9
72,Iceland,Europe,19,13,72.61,70-79.9,-4.39,96.8,94.2,83.9,72.9,31.5,28.8,83.3,67.7,77.4,80.4,80,70,77,70-79.9
